rxn,label,A,A_units,n,Ea,Ea_units,T0,Tmin,Tmax,dA,dn,dEa,source_comment
rmg_rxn_256,k_rev (TST+T),3.04162e-06,cm^3/(mol*s),5.05031,34.3749,kJ/mol,1.0 K,300.0 K,3000.0 K,2.4048,0.114291,0.653599,"Fitted to 50 data points; dA = *|/ 2.4048, dn = +|- 0.114291, dEa = +|- 0.653599 kJ/mol"
rmg_rxn_256,k_for (TST+T),7.12229e-07,cm^3/(mol*s),4.90486,24.3429,kJ/mol,1.0 K,300.0 K,3000.0 K,2.34289,0.110894,0.634171,"Fitted to 50 data points; dA = *|/ 2.34289, dn = +|- 0.110894, dEa = +|- 0.634171 kJ/mol"
rmg_rxn_1486,k_rev (TST),0.653783,cm^3/(mol*s),3.2147,163.318,kJ/mol,1.0 K,300.0 K,3000.0 K,1.15854,0.0191679,0.109616,"Fitted to 50 data points; dA = *|/ 1.15854, dn = +|- 0.0191679, dEa = +|- 0.109616 kJ/mol"
rmg_rxn_1486,k_rev (TST+T),1.34235e-11,cm^3/(mol*s),6.22851,132.515,kJ/mol,1.0 K,300.0 K,3000.0 K,9.36556,0.291377,1.6663,"Fitted to 50 data points; dA = *|/ 9.36556, dn = +|- 0.291377, dEa = +|- 1.6663 kJ/mol"
rmg_rxn_1486,k_for (TST+T),1.11111e-11,cm^3/(mol*s),6.41922,72.4054,kJ/mol,1.0 K,300.0 K,3000.0 K,10.4915,0.306164,1.75087,"Fitted to 50 data points; dA = *|/ 10.4915, dn = +|- 0.306164, dEa = +|- 1.75087 kJ/mol"
rmg_rxn_307,k_rev (TST),4.09241,cm^3/(mol*s),3.3105,47.8811,kJ/mol,1.0 K,300.0 K,3000.0 K,1.12702,0.0155751,0.0890698,"Fitted to 50 data points; dA = *|/ 1.12702, dn = +|- 0.0155751, dEa = +|- 0.0890698 kJ/mol"
rmg_rxn_307,k_rev (TST+T),0.000109177,cm^3/(mol*s),4.57923,31.2741,kJ/mol,1.0 K,300.0 K,3000.0 K,1.65285,0.065451,0.374296,"Fitted to 50 data points; dA = *|/ 1.65285, dn = +|- 0.065451, dEa = +|- 0.374296 kJ/mol"
rmg_rxn_307,k_for (TST+T),8.52544e-05,cm^3/(mol*s),4.69429,8.0298,kJ/mol,1.0 K,300.0 K,3000.0 K,1.80284,0.0767655,0.439,"Fitted to 50 data points; dA = *|/ 1.80284, dn = +|- 0.0767655, dEa = +|- 0.439 kJ/mol"
rmg_rxn_319,k_rev (TST),0.238942,cm^3/(mol*s),3.50899,41.9621,kJ/mol,1.0 K,300.0 K,3000.0 K,1.0475,0.00604504,0.0345699,"Fitted to 50 data points; dA = *|/ 1.0475, dn = +|- 0.00604504, dEa = +|- 0.0345699 kJ/mol"
rmg_rxn_319,k_rev (TST+T),0.00708105,cm^3/(mol*s),3.92486,34.5901,kJ/mol,1.0 K,300.0 K,3000.0 K,1.17132,0.020597,0.117788,"Fitted to 50 data points; dA = *|/ 1.17132, dn = +|- 0.020597, dEa = +|- 0.117788 kJ/mol"
rmg_rxn_319,k_for (TST+T),0.00310553,cm^3/(mol*s),3.65743,-4.3265,kJ/mol,1.0 K,300.0 K,3000.0 K,1.03829,0.00489469,0.0279914,"Fitted to 50 data points; dA = *|/ 1.03829, dn = +|- 0.00489469, dEa = +|- 0.0279914 kJ/mol"
rmg_rxn_660,k_rev (TST),0.02333,cm^3/(mol*s),3.42124,40.0621,kJ/mol,1.0 K,300.0 K,3000.0 K,1.04871,0.00619441,0.0354241,"Fitted to 50 data points; dA = *|/ 1.04871, dn = +|- 0.00619441, dEa = +|- 0.0354241 kJ/mol"
rmg_rxn_660,k_rev (TST+T),1.35162e-07,cm^3/(mol*s),4.87888,21.8891,kJ/mol,1.0 K,300.0 K,3000.0 K,2.12572,0.0982239,0.561715,"Fitted to 50 data points; dA = *|/ 2.12572, dn = +|- 0.0982239, dEa = +|- 0.561715 kJ/mol"
rmg_rxn_660,k_for (TST+T),4.15763e-07,cm^3/(mol*s),4.80286,16.7705,kJ/mol,1.0 K,300.0 K,3000.0 K,2.06886,0.094692,0.541517,"Fitted to 50 data points; dA = *|/ 2.06886, dn = +|- 0.094692, dEa = +|- 0.541517 kJ/mol"
rmg_rxn_646,k_rev (TST),0.893588,cm^3/(mol*s),3.19037,15.8943,kJ/mol,1.0 K,300.0 K,3000.0 K,1.17629,0.0211485,0.120943,"Fitted to 50 data points; dA = *|/ 1.17629, dn = +|- 0.0211485, dEa = +|- 0.120943 kJ/mol"
rmg_rxn_646,k_rev (TST+T),0.000862321,cm^3/(mol*s),4.02253,3.80303,kJ/mol,1.0 K,300.0 K,3000.0 K,1.22432,0.0263607,0.15075,"Fitted to 50 data points; dA = *|/ 1.22432, dn = +|- 0.0263607, dEa = +|- 0.15075 kJ/mol"
rmg_rxn_646,k_for (TST+T),0.00168343,cm^3/(mol*s),4.25316,11.1247,kJ/mol,1.0 K,300.0 K,3000.0 K,1.39931,0.0437616,0.25026,"Fitted to 50 data points; dA = *|/ 1.39931, dn = +|- 0.0437616, dEa = +|- 0.25026 kJ/mol"
rmg_rxn_2002,k_rev (TST),6.07903,cm^3/(mol*s),3.21944,48.9784,kJ/mol,1.0 K,300.0 K,3000.0 K,1.11521,0.0142024,0.0812198,"Fitted to 50 data points; dA = *|/ 1.11521, dn = +|- 0.0142024, dEa = +|- 0.0812198 kJ/mol"
rmg_rxn_2002,k_rev (TST+T),0.0393445,cm^3/(mol*s),3.82087,39.841,kJ/mol,1.0 K,300.0 K,3000.0 K,1.1379,0.016826,0.0962232,"Fitted to 50 data points; dA = *|/ 1.1379, dn = +|- 0.016826, dEa = +|- 0.0962232 kJ/mol"
rmg_rxn_2002,k_for (TST+T),0.00895634,cm^3/(mol*s),4.05567,2.06254,kJ/mol,1.0 K,300.0 K,3000.0 K,1.24965,0.0290278,0.166002,"Fitted to 50 data points; dA = *|/ 1.24965, dn = +|- 0.0290278, dEa = +|- 0.166002 kJ/mol"
rmg_rxn_640,k_rev (TST),2.57754,cm^3/(mol*s),3.70547,70.7143,kJ/mol,1.0 K,300.0 K,3000.0 K,1.06776,0.00853997,0.0488377,"Fitted to 50 data points; dA = *|/ 1.06776, dn = +|- 0.00853997, dEa = +|- 0.0488377 kJ/mol"
rmg_rxn_640,k_rev (TST+T),0.562722,cm^3/(mol*s),3.88316,67.6483,kJ/mol,1.0 K,300.0 K,3000.0 K,1.10707,0.0132489,0.0757667,"Fitted to 50 data points; dA = *|/ 1.10707, dn = +|- 0.0132489, dEa = +|- 0.0757667 kJ/mol"
rmg_rxn_640,k_for (TST+T),1.66598,cm^3/(mol*s),3.27408,-4.29402,kJ/mol,1.0 K,300.0 K,3000.0 K,1.12072,0.0148449,0.0848938,"Fitted to 50 data points; dA = *|/ 1.12072, dn = +|- 0.0148449, dEa = +|- 0.0848938 kJ/mol"
rmg_rxn_1483,k_rev (TST),52.376,cm^3/(mol*s),3.27258,52.9508,kJ/mol,1.0 K,300.0 K,3000.0 K,1.06748,0.00850579,0.0486423,"Fitted to 50 data points; dA = *|/ 1.06748, dn = +|- 0.00850579, dEa = +|- 0.0486423 kJ/mol"
rmg_rxn_1483,k_rev (TST+T),0.310781,cm^3/(mol*s),3.88441,43.7125,kJ/mol,1.0 K,300.0 K,3000.0 K,1.20746,0.0245552,0.140424,"Fitted to 50 data points; dA = *|/ 1.20746, dn = +|- 0.0245552, dEa = +|- 0.140424 kJ/mol"
rmg_rxn_1483,k_for (TST+T),10.5061,cm^3/(mol*s),3.46772,-0.451207,kJ/mol,1.0 K,300.0 K,3000.0 K,1.15875,0.0191919,0.109753,"Fitted to 50 data points; dA = *|/ 1.15875, dn = +|- 0.0191919, dEa = +|- 0.109753 kJ/mol"
rmg_rxn_689,k_rev (TST),0.60899,cm^3/(mol*s),3.3394,53.1946,kJ/mol,1.0 K,300.0 K,3000.0 K,1.09876,0.0122673,0.0701533,"Fitted to 50 data points; dA = *|/ 1.09876, dn = +|- 0.0122673, dEa = +|- 0.0701533 kJ/mol"
rmg_rxn_689,k_rev (TST+T),4.09595e-07,cm^3/(mol*s),5.06242,32.7232,kJ/mol,1.0 K,300.0 K,3000.0 K,2.49682,0.119182,0.68157,"Fitted to 50 data points; dA = *|/ 2.49682, dn = +|- 0.119182, dEa = +|- 0.68157 kJ/mol"
rmg_rxn_689,k_for (TST+T),3.83892e-07,cm^3/(mol*s),5.04156,22.4123,kJ/mol,1.0 K,300.0 K,3000.0 K,2.49726,0.119205,0.681702,"Fitted to 50 data points; dA = *|/ 2.49726, dn = +|- 0.119205, dEa = +|- 0.681702 kJ/mol"
rmg_rxn_346,k_rev (TST),0.645717,cm^3/(mol*s),3.3965,71.7067,kJ/mol,1.0 K,300.0 K,3000.0 K,1.05219,0.00662679,0.0378968,"Fitted to 50 data points; dA = *|/ 1.05219, dn = +|- 0.00662679, dEa = +|- 0.0378968 kJ/mol"
rmg_rxn_346,k_rev (TST+T),0.113766,cm^3/(mol*s),3.60127,68.3262,kJ/mol,1.0 K,300.0 K,3000.0 K,1.04302,0.00548629,0.0313746,"Fitted to 50 data points; dA = *|/ 1.04302, dn = +|- 0.00548629, dEa = +|- 0.0313746 kJ/mol"
rmg_rxn_346,k_for (TST+T),0.204224,cm^3/(mol*s),3.6431,-2.32878,kJ/mol,1.0 K,300.0 K,3000.0 K,1.07107,0.00894259,0.0511402,"Fitted to 50 data points; dA = *|/ 1.07107, dn = +|- 0.00894259, dEa = +|- 0.0511402 kJ/mol"
rmg_rxn_171,k_rev (TST),1.38504,cm^3/(mol*s),3.73383,72.7556,kJ/mol,1.0 K,300.0 K,3000.0 K,1.07486,0.00940297,0.053773,"Fitted to 50 data points; dA = *|/ 1.07486, dn = +|- 0.00940297, dEa = +|- 0.053773 kJ/mol"
rmg_rxn_171,k_rev (TST+T),0.0217571,cm^3/(mol*s),4.22896,65.2569,kJ/mol,1.0 K,300.0 K,3000.0 K,1.27609,0.0317549,0.181598,"Fitted to 50 data points; dA = *|/ 1.27609, dn = +|- 0.0317549, dEa = +|- 0.181598 kJ/mol"
rmg_rxn_171,k_for (TST+T),0.0934548,cm^3/(mol*s),3.6605,-0.0278364,kJ/mol,1.0 K,300.0 K,3000.0 K,1.04941,0.00628134,0.0359213,"Fitted to 50 data points; dA = *|/ 1.04941, dn = +|- 0.00628134, dEa = +|- 0.0359213 kJ/mol"
rmg_rxn_357,k_rev (TST),2.94695,cm^3/(mol*s),3.32422,62.4197,kJ/mol,1.0 K,300.0 K,3000.0 K,1.0931,0.011595,0.0663088,"Fitted to 50 data points; dA = *|/ 1.0931, dn = +|- 0.011595, dEa = +|- 0.0663088 kJ/mol"
rmg_rxn_357,k_rev (TST+T),0.00203668,cm^3/(mol*s),4.19982,50.777,kJ/mol,1.0 K,300.0 K,3000.0 K,1.39859,0.0436947,0.249878,"Fitted to 50 data points; dA = *|/ 1.39859, dn = +|- 0.0436947, dEa = +|- 0.249878 kJ/mol"
rmg_rxn_357,k_for (TST+T),0.00196858,cm^3/(mol*s),4.37029,8.213,kJ/mol,1.0 K,300.0 K,3000.0 K,1.49645,0.0525034,0.300253,"Fitted to 50 data points; dA = *|/ 1.49645, dn = +|- 0.0525034, dEa = +|- 0.300253 kJ/mol"
rmg_rxn_16,k_rev (TST),0.351507,cm^3/(mol*s),3.58607,64.7759,kJ/mol,1.0 K,300.0 K,3000.0 K,1.05196,0.00659763,0.03773,"Fitted to 50 data points; dA = *|/ 1.05196, dn = +|- 0.00659763, dEa = +|- 0.03773 kJ/mol"
rmg_rxn_16,k_rev (TST+T),0.0182888,cm^3/(mol*s),3.93522,58.7816,kJ/mol,1.0 K,300.0 K,3000.0 K,1.14805,0.0179831,0.102841,"Fitted to 50 data points; dA = *|/ 1.14805, dn = +|- 0.0179831, dEa = +|- 0.102841 kJ/mol"
rmg_rxn_16,k_for (TST+T),0.00960113,cm^3/(mol*s),3.52886,-4.92011,kJ/mol,1.0 K,300.0 K,3000.0 K,1.05888,0.00745244,0.0426184,"Fitted to 50 data points; dA = *|/ 1.05888, dn = +|- 0.00745244, dEa = +|- 0.0426184 kJ/mol"
rmg_rxn_176,k_rev (TST),0.195025,cm^3/(mol*s),3.36718,40.6134,kJ/mol,1.0 K,300.0 K,3000.0 K,1.09047,0.0112804,0.0645098,"Fitted to 50 data points; dA = *|/ 1.09047, dn = +|- 0.0112804, dEa = +|- 0.0645098 kJ/mol"
rmg_rxn_176,k_rev (TST+T),1.35898e-06,cm^3/(mol*s),4.8054,23.2367,kJ/mol,1.0 K,300.0 K,3000.0 K,2.09726,0.0964682,0.551675,"Fitted to 50 data points; dA = *|/ 2.09726, dn = +|- 0.0964682, dEa = +|- 0.551675 kJ/mol"
rmg_rxn_176,k_for (TST+T),8.78737e-07,cm^3/(mol*s),4.79528,26.5485,kJ/mol,1.0 K,300.0 K,3000.0 K,2.09481,0.0963158,0.550804,"Fitted to 50 data points; dA = *|/ 2.09481, dn = +|- 0.0963158, dEa = +|- 0.550804 kJ/mol"
