A,A_unit,n,Ea,Ea_unit,T0,T0_unit,Tmin,Tmin_unit,Tmax,Tmax_unit,dA,dn,dEa,folder,subfolder,E0_reactants_kJmol,E0_TS_kJmol,E0_products_kJmol
9.54555e-06,cm^3/(mol*s),5.0097,27.7015,kJ/mol,1.0,K,300.0,K,3000.0,K,2.26371,0.106416,0.608561,ZEUS,rmg_rxn_16575,0.0,51.27,9.15
7.59589e-05,cm^3/(mol*s),4.52414,6.71023,kJ/mol,1.0,K,300.0,K,3000.0,K,1.6283,0.0635022,0.363151,ZEUS,rmg_rxn_16498,47.79,76.59,0.0
0.037842,cm^3/(mol*s),3.94903,0.2915,kJ/mol,1.0,K,300.0,K,3000.0,K,1.17907,0.0214552,0.122696,ZEUS,rmg_rxn_16515,52.74,69.48,0.0
1.7302e-06,cm^3/(mol*s),4.90489,22.8699,kJ/mol,1.0,K,300.0,K,3000.0,K,2.29997,0.108486,0.6204,ZEUS,rmg_rxn_15719,6.22,53.15,0.0
0.00013986,cm^3/(mol*s),4.60745,73.5356,kJ/mol,1.0,K,300.0,K,3000.0,K,1.98252,0.0891398,0.509766,ZEUS,rmg_rxn_16705,0.89,90.0,0.0
3.79714,cm^3/(mol*s),3.48324,-3.51305,kJ/mol,1.0,K,300.0,K,3000.0,K,1.04723,0.00601052,0.0343725,ZEUS,rmg_rxn_15664,137.24,141.56,0.0
1864.37,cm^3/(mol*s),2.77028,-2.98968,kJ/mol,1.0,K,300.0,K,3000.0,K,1.08772,0.0109521,0.0626322,ZEUS,rmg_rxn_15379,35.79,41.51,0.0
0.0921291,cm^3/(mol*s),3.96685,5.18364,kJ/mol,1.0,K,300.0,K,3000.0,K,1.23248,0.0272259,0.155697,ZEUS,rmg_rxn_15491,64.04,80.92,0.0
7.10797e-06,cm^3/(mol*s),4.83444,20.3758,kJ/mol,1.0,K,300.0,K,3000.0,K,2.19433,0.102361,0.585375,ZEUS,rmg_rxn_15617,7.44,50.56,0.0
0.178535,cm^3/(mol*s),3.47145,-4.62792,kJ/mol,1.0,K,300.0,K,3000.0,K,1.06248,0.00789387,0.0451428,ZEUS,rmg_rxn_15708,93.08,96.8,0.0
