rxn,direction,E0_total,E0_TS0,delta_E0
rmg_rxn_14108,forward,-801195.0,-801176.0,19.0
rmg_rxn_14108,reverse,-801303.0,-801176.0,127.0
rmg_rxn_14111,forward,-655978.0,-655918.0,60.0
rmg_rxn_14111,reverse,-655964.0,-655918.0,46.0
rmg_rxn_14112,forward,-947335.0,-947314.0,21.0
rmg_rxn_14112,reverse,-947418.0,-947314.0,104.0
rmg_rxn_14117,forward,-1215041.0,-1215000.0,41.0
rmg_rxn_14117,reverse,-1215070.0,-1215000.0,70.0
rmg_rxn_14121,forward,-513813.0,-513778.0,35.0
rmg_rxn_14121,reverse,-513890.0,-513778.0,112.0
rmg_rxn_14122,forward,-513813.0,-513773.0,40.0
rmg_rxn_14122,reverse,-513876.0,-513773.0,103.0
rmg_rxn_14123,forward,-895519.0,-895468.0,51.0
rmg_rxn_14123,reverse,-895556.0,-895468.0,88.0
rmg_rxn_14131,forward,-1111772.0,-1111710.0,62.0
rmg_rxn_14131,reverse,-1111752.0,-1111710.0,42.0
rmg_rxn_14132,forward,-1111738.0,-1111760.0,-22.0
rmg_rxn_14132,reverse,-1111772.0,-1111760.0,12.0
rmg_rxn_14135,forward,-823286.0,-823248.0,38.0
rmg_rxn_14135,reverse,-823323.0,-823248.0,75.0
rmg_rxn_14136,forward,-823271.0,-823237.0,34.0
rmg_rxn_14136,reverse,-823323.0,-823237.0,86.0
rmg_rxn_14137,forward,-1123896.0,-1123860.0,36.0
rmg_rxn_14137,reverse,-1123938.0,-1123860.0,78.0
rmg_rxn_14138,forward,-1123914.0,-1123870.0,44.0
rmg_rxn_14138,reverse,-1123938.0,-1123870.0,68.0
rmg_rxn_14139,forward,-1123916.0,-1123870.0,46.0
rmg_rxn_14139,reverse,-1123938.0,-1123870.0,68.0
rmg_rxn_14141,forward,-1123882.0,-1123840.0,42.0
rmg_rxn_14141,reverse,-1123938.0,-1123840.0,98.0
rmg_rxn_14142,forward,-1215096.0,-1215070.0,26.0
rmg_rxn_14142,reverse,-1215147.0,-1215070.0,77.0
rmg_rxn_14143,forward,-1215118.0,-1215080.0,38.0
rmg_rxn_14143,reverse,-1215147.0,-1215080.0,67.0
rmg_rxn_14144,forward,-1215120.0,-1215080.0,40.0
rmg_rxn_14144,reverse,-1215147.0,-1215080.0,67.0
rmg_rxn_14145,forward,-1456206.0,-1456200.0,6.0
rmg_rxn_14145,reverse,-1456194.0,-1456200.0,-6.0
rmg_rxn_14146,forward,-1868786.0,-1868760.0,26.0
rmg_rxn_14146,reverse,-1868774.0,-1868760.0,14.0
rmg_rxn_14147,forward,-1868744.0,-1868700.0,44.0
rmg_rxn_14147,reverse,-1868786.0,-1868700.0,86.0
rmg_rxn_14148,forward,-956491.0,-956598.0,-107.0
rmg_rxn_14148,reverse,-956584.0,-956598.0,-14.0
rmg_rxn_14149,forward,-956439.0,-956400.0,39.0
rmg_rxn_14149,reverse,-956491.0,-956400.0,91.0
rmg_rxn_14152,forward,-756050.0,-756014.0,36.0
rmg_rxn_14152,reverse,-756021.0,-756014.0,7.0
rmg_rxn_14153,forward,-816921.0,-816849.0,72.0
rmg_rxn_14153,reverse,-816917.0,-816849.0,68.0
rmg_rxn_14155,forward,-947694.0,-947657.0,37.0
rmg_rxn_14155,reverse,-947750.0,-947657.0,93.0
rmg_rxn_14156,forward,-512040.0,-512025.0,15.0
rmg_rxn_14156,reverse,-512135.0,-512025.0,110.0
rmg_rxn_14159,forward,-760584.0,-760639.0,-55.0
rmg_rxn_14159,reverse,-760595.0,-760639.0,-44.0
rmg_rxn_14163,forward,-699571.0,-699597.0,-26.0
rmg_rxn_14163,reverse,-699585.0,-699597.0,-12.0
rmg_rxn_14165,forward,-718363.0,,
rmg_rxn_14165,reverse,-407619.0,,
rmg_rxn_14169,forward,-1662496.0,-1662510.0,-14.0
rmg_rxn_14169,reverse,-1662504.0,-1662510.0,-6.0
rmg_rxn_14170,forward,-1662496.0,-1662490.0,6.0
rmg_rxn_14170,reverse,-1662474.0,-1662490.0,-16.0
rmg_rxn_14171,forward,-1662444.0,-1662400.0,44.0
rmg_rxn_14171,reverse,-1662496.0,-1662400.0,96.0
rmg_rxn_14174,forward,-956552.0,-956512.0,40.0
rmg_rxn_14174,reverse,-956584.0,-956512.0,72.0
rmg_rxn_14178,forward,-917634.0,-917594.0,40.0
rmg_rxn_14178,reverse,-917657.0,-917594.0,63.0
rmg_rxn_14180,forward,-1454519.0,-1454500.0,19.0
rmg_rxn_14180,reverse,-1454527.0,-1454500.0,27.0
rmg_rxn_14184,forward,-716981.0,-716983.0,-2.0
rmg_rxn_14184,reverse,-716905.0,-716983.0,-78.0
rmg_rxn_14185,forward,-716981.0,-716872.0,109.0
rmg_rxn_14185,reverse,-716886.0,-716872.0,14.0
rmg_rxn_14186,forward,-409297.0,,
rmg_rxn_14186,reverse,-814512.0,,
rmg_rxn_14187,forward,-814487.0,-814442.0,45.0
rmg_rxn_14187,reverse,-814507.0,-814442.0,65.0
rmg_rxn_14188,forward,-814452.0,-814422.0,30.0
rmg_rxn_14188,reverse,-814507.0,-814422.0,85.0
rmg_rxn_14189,forward,-803830.0,-803850.0,-20.0
rmg_rxn_14189,reverse,-804002.0,-803850.0,152.0
rmg_rxn_14194,forward,-720173.0,-720094.0,79.0
rmg_rxn_14194,reverse,-720136.0,-720094.0,42.0
rmg_rxn_14195,forward,-409297.0,,
rmg_rxn_14195,reverse,-720179.0,,
rmg_rxn_14196,forward,-1765636.0,-1765610.0,26.0
rmg_rxn_14196,reverse,-1765624.0,-1765610.0,14.0
rmg_rxn_14197,forward,-1765584.0,-1765550.0,34.0
rmg_rxn_14197,reverse,-1765636.0,-1765550.0,86.0
rmg_rxn_14200,forward,-853334.0,-853302.0,32.0
rmg_rxn_14200,reverse,-853419.0,-853302.0,117.0
rmg_rxn_14205,forward,-1020750.0,-1020710.0,40.0
rmg_rxn_14205,reverse,-1020775.0,-1020710.0,65.0
rmg_rxn_14206,forward,-1020728.0,,
rmg_rxn_14206,reverse,-1020782.0,,
rmg_rxn_14207,forward,-1020752.0,,
rmg_rxn_14207,reverse,-1020782.0,,
rmg_rxn_1446,forward,-1354817.0,-1354800.0,17.0
rmg_rxn_1446,reverse,-1354905.0,-1354800.0,105.0
rmg_rxn_1447,forward,-1315925.0,-1315900.0,25.0
rmg_rxn_1447,reverse,-1315922.0,-1315900.0,22.0
rmg_rxn_1449,forward,-1115207.0,-1115190.0,17.0
rmg_rxn_1449,reverse,-1115246.0,-1115190.0,56.0
rmg_rxn_14491,forward,-1405071.0,-1405100.0,-29.0
rmg_rxn_14491,reverse,-1405084.0,-1405100.0,-16.0
rmg_rxn_1450,forward,-807618.0,,
rmg_rxn_1450,reverse,-1212778.0,,
rmg_rxn_14502,forward,-1063775.0,-1063750.0,25.0
rmg_rxn_14502,reverse,-1063853.0,-1063750.0,103.0
rmg_rxn_14504,forward,-1362934.0,-1362870.0,64.0
rmg_rxn_14504,reverse,-1362909.0,-1362870.0,39.0
rmg_rxn_1451,forward,-1202095.0,-1202120.0,-25.0
rmg_rxn_1451,reverse,-1202323.0,-1202120.0,203.0
rmg_rxn_14521,forward,-1326432.0,-1326310.0,122.0
rmg_rxn_14521,reverse,-1326482.0,-1326310.0,172.0
rmg_rxn_1454,forward,-807618.0,,
rmg_rxn_1454,reverse,-1118445.0,,
rmg_rxn_14658,forward,-1616920.0,-1616860.0,60.0
rmg_rxn_14658,reverse,-1616855.0,-1616860.0,-5.0
rmg_rxn_1474,forward,-901886.0,-901860.0,26.0
rmg_rxn_1474,reverse,-901969.0,-901860.0,109.0
rmg_rxn_1475,forward,-1202511.0,-1202480.0,31.0
rmg_rxn_1475,reverse,-1202584.0,-1202480.0,104.0
rmg_rxn_1476,forward,-1202529.0,-1202510.0,19.0
rmg_rxn_1476,reverse,-1202584.0,-1202510.0,74.0
rmg_rxn_1477,forward,-1202531.0,-1202510.0,21.0
rmg_rxn_1477,reverse,-1202584.0,-1202510.0,74.0
rmg_rxn_1478,forward,-1202499.0,-1202480.0,19.0
rmg_rxn_1478,reverse,-1202584.0,-1202480.0,104.0
rmg_rxn_1479,forward,-1202497.0,-1202470.0,27.0
rmg_rxn_1479,reverse,-1202584.0,-1202470.0,114.0
rmg_rxn_1480,forward,-1293711.0,-1293690.0,21.0
rmg_rxn_1480,reverse,-1293793.0,-1293690.0,103.0
rmg_rxn_1481,forward,-1293733.0,-1293710.0,23.0
rmg_rxn_1481,reverse,-1293793.0,-1293710.0,83.0
rmg_rxn_1482,forward,-1293735.0,-1293720.0,15.0
rmg_rxn_1482,reverse,-1293793.0,-1293720.0,73.0
rmg_rxn_1483,forward,-1534809.0,-1534800.0,9.0
rmg_rxn_1483,reverse,-1534852.0,-1534800.0,52.0
rmg_rxn_1485,forward,-1947359.0,-1947330.0,29.0
rmg_rxn_1485,reverse,-1947432.0,-1947330.0,102.0
rmg_rxn_1486,forward,-1035137.0,-1035030.0,107.0
rmg_rxn_1486,reverse,-1035199.0,-1035030.0,169.0
rmg_rxn_1487,forward,-1035054.0,-1035020.0,34.0
rmg_rxn_1487,reverse,-1035137.0,-1035020.0,117.0
